name,pokedex_number,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles
Omastar,139,1,Normal,Spiral Pokémon,2,Rock,Water,1,35,495,70,60,125,115,70,55,45,70,Medium Fast,2,Water 1,Water 3,87.5,30
Kabuto,140,1,Normal,Shellfish Pokémon,2,Rock,Water,0.5,11.5,355,30,80,90,55,45,55,45,70,Medium Fast,2,Water 1,Water 3,87.5,30
Kabutops,141,1,Normal,Shellfish Pokémon,2,Rock,Water,1.3,40.5,495,60,115,105,65,70,80,45,70,Medium Fast,2,Water 1,Water 3,87.5,30
Aerodactyl,142,1,Normal,Fossil Pokémon,2,Rock,Flying,1.8,59,515,80,105,65,60,75,130,45,70,Slow,1,Flying,,87.5,35
Mega Aerodactyl,142,1,Normal,Fossil Pokémon,2,Rock,Flying,2.1,79,615,80,135,85,70,95,150,45,70,Slow,1,Flying,,87.5,35
Snorlax,143,1,Normal,Sleeping Pokémon,1,Normal,,2.1,460,540,160,110,65,65,110,30,25,70,Slow,1,Monster,,87.5,40
Articuno,144,1,Sub Legendary,Freeze Pokémon,2,Ice,Flying,1.7,55.4,580,90,85,100,95,125,85,3,35,Slow,1,Undiscovered,,,80
Galarian Articuno,144,8,Sub Legendary,Cruel Pokémon,2,Psychic,Flying,1.7,50.9,580,90,85,85,125,100,95,3,35,Slow,1,Undiscovered,,,120
Zapdos,145,1,Sub Legendary,Electric Pokémon,2,Electric,Flying,1.6,52.6,580,90,90,85,125,90,100,3,35,Slow,1,Undiscovered,,,80
Galarian Zapdos,145,8,Sub Legendary,Strong Legs Pokémon,2,Fighting,Flying,1.6,58.2,580,90,125,90,85,90,100,3,35,Slow,1,Undiscovered,,,120
Moltres,146,1,Sub Legendary,Flame Pokémon,2,Fire,Flying,2,60,580,90,100,90,125,85,90,3,35,Slow,1,Undiscovered,,,80
Galarian Moltres,146,8,Sub Legendary,Malevolent Pokémon,2,Dark,Flying,2,66,580,90,85,90,100,125,90,3,35,Slow,1,Undiscovered,,,120
Dratini,147,1,Normal,Dragon Pokémon,1,Dragon,,1.8,3.3,300,41,64,45,50,50,50,45,35,Slow,2,Dragon,Water 1,50,40
Dragonair,148,1,Normal,Dragon Pokémon,1,Dragon,,4,16.5,420,61,84,65,70,70,70,45,35,Slow,2,Dragon,Water 1,50,40
Dragonite,149,1,Normal,Dragon Pokémon,2,Dragon,Flying,2.2,210,600,91,134,95,100,100,80,45,35,Slow,2,Dragon,Water 1,50,40
Mewtwo,150,1,Legendary,Genetic Pokémon,1,Psychic,,2,122,680,106,110,90,154,90,130,3,0,Slow,1,Undiscovered,,,120
Mega Mewtwo X,150,1,Legendary,Genetic Pokémon,2,Psychic,Fighting,2.3,127,780,106,190,100,154,100,130,3,0,Slow,1,Undiscovered,,,120
Mega Mewtwo Y,150,1,Legendary,Genetic Pokémon,1,Psychic,,1.5,33,780,106,150,70,194,120,140,3,0,Slow,1,Undiscovered,,,120
Mew,151,1,Mythical,New Species Pokémon,1,Psychic,,0.4,4,600,100,100,100,100,100,100,45,100,Medium Slow,1,Undiscovered,,,120
Chikorita,152,2,Normal,Leaf Pokémon,1,Grass,,0.9,6.4,318,45,49,65,49,65,45,45,70,Medium Slow,2,Grass,Monster,87.5,20
Bayleef,153,2,Normal,Leaf Pokémon,1,Grass,,1.2,15.8,405,60,62,80,63,80,60,45,70,Medium Slow,2,Grass,Monster,87.5,20
Meganium,154,2,Normal,Herb Pokémon,1,Grass,,1.8,100.5,525,80,82,100,83,100,80,45,70,Medium Slow,2,Grass,Monster,87.5,20
Cyndaquil,155,2,Normal,Fire Mouse Pokémon,1,Fire,,0.5,7.9,309,39,52,43,60,50,65,45,70,Medium Slow,1,Field,,87.5,20
Quilava,156,2,Normal,Volcano Pokémon,1,Fire,,0.9,19,405,58,64,58,80,65,80,45,70,Medium Slow,1,Field,,87.5,20
Typhlosion,157,2,Normal,Volcano Pokémon,1,Fire,,1.7,79.5,534,78,84,78,109,85,100,45,70,Medium Slow,1,Field,,87.5,20
Totodile,158,2,Normal,Big Jaw Pokémon,1,Water,,0.6,9.5,314,50,65,64,44,48,43,45,70,Medium Slow,2,Monster,Water 1,87.5,20
Croconaw,159,2,Normal,Big Jaw Pokémon,1,Water,,1.1,25,405,65,80,80,59,63,58,45,70,Medium Slow,2,Monster,Water 1,87.5,20
Feraligatr,160,2,Normal,Big Jaw Pokémon,1,Water,,2.3,88.8,530,85,105,100,79,83,78,45,70,Medium Slow,2,Monster,Water 1,87.5,20
Sentret,161,2,Normal,Scout Pokémon,1,Normal,,0.8,6,215,35,46,34,35,45,20,255,70,Medium Fast,1,Field,,50,15
Furret,162,2,Normal,Long Body Pokémon,1,Normal,,1.8,32.5,415,85,76,64,45,55,90,90,70,Medium Fast,1,Field,,50,15
Hoothoot,163,2,Normal,Owl Pokémon,2,Normal,Flying,0.7,21.2,262,60,30,30,36,56,50,255,70,Medium Fast,1,Flying,,50,15
Noctowl,164,2,Normal,Owl Pokémon,2,Normal,Flying,1.6,40.8,452,100,50,50,86,96,70,90,70,Medium Fast,1,Flying,,50,15
Ledyba,165,2,Normal,Five Star Pokémon,2,Bug,Flying,1,10.8,265,40,20,30,40,80,55,255,70,Fast,1,Bug,,50,15
Ledian,166,2,Normal,Five Star Pokémon,2,Bug,Flying,1.4,35.6,390,55,35,50,55,110,85,90,70,Fast,1,Bug,,50,15
Spinarak,167,2,Normal,String Spit Pokémon,2,Bug,Poison,0.5,8.5,250,40,60,40,40,40,30,255,70,Fast,1,Bug,,50,15
Ariados,168,2,Normal,Long Leg Pokémon,2,Bug,Poison,1.1,33.5,400,70,90,70,60,70,40,90,70,Fast,1,Bug,,50,15
Crobat,169,2,Normal,Bat Pokémon,2,Poison,Flying,1.8,75,535,85,90,80,70,80,130,90,70,Medium Fast,1,Flying,,50,15
Chinchou,170,2,Normal,Angler Pokémon,2,Water,Electric,0.5,12,330,75,38,38,56,56,67,190,70,Slow,1,Water 2,,50,20
Lanturn,171,2,Normal,Light Pokémon,2,Water,Electric,1.2,22.5,460,125,58,58,76,76,67,75,70,Slow,1,Water 2,,50,20
Pichu,172,2,Normal,Tiny Mouse Pokémon,1,Electric,,0.3,2,205,20,40,15,35,35,60,190,70,Medium Fast,1,Undiscovered,,50,10
Cleffa,173,2,Normal,Star Shape Pokémon,1,Fairy,,0.3,3,218,50,25,28,45,55,15,150,140,Fast,1,Undiscovered,,25,10
Igglybuff,174,2,Normal,Balloon Pokémon,2,Normal,Fairy,0.3,1,210,90,30,15,40,20,15,170,70,Fast,1,Undiscovered,,25,10
Togepi,175,2,Normal,Spike Ball Pokémon,1,Fairy,,0.3,1.5,245,35,20,65,40,65,20,190,70,Fast,1,Undiscovered,,87.5,10
Togetic,176,2,Normal,Happiness Pokémon,2,Fairy,Flying,0.6,3.2,405,55,40,85,80,105,40,75,70,Fast,2,Fairy,Flying,87.5,10
Natu,177,2,Normal,Tiny Bird Pokémon,2,Psychic,Flying,0.2,2,320,40,50,45,70,45,70,190,70,Medium Fast,1,Flying,,50,20
Xatu,178,2,Normal,Mystic Pokémon,2,Psychic,Flying,1.5,15,470,65,75,70,95,70,95,75,70,Medium Fast,1,Flying,,50,20
Mareep,179,2,Normal,Wool Pokémon,1,Electric,,0.6,7.8,280,55,40,40,65,45,35,235,70,Medium Slow,2,Field,Monster,50,20
Flaaffy,180,2,Normal,Wool Pokémon,1,Electric,,0.8,13.3,365,70,55,55,80,60,45,120,70,Medium Slow,2,Field,Monster,50,20
Ampharos,181,2,Normal,Light Pokémon,1,Electric,,1.4,61.5,510,90,75,85,115,90,55,45,70,Medium Slow,2,Field,Monster,50,20
Mega Ampharos,181,2,Normal,Light Pokémon,2,Electric,Dragon,1.4,61.5,610,90,95,105,165,110,45,45,70,Medium Slow,2,Field,Monster,50,20
Bellossom,182,2,Normal,Flower Pokémon,1,Grass,,0.4,5.8,490,75,80,95,90,100,50,45,70,Medium Slow,1,Grass,,50,20
Marill,183,2,Normal,Aqua Mouse Pokémon,2,Water,Fairy,0.4,8.5,250,70,20,50,20,50,40,190,70,Fast,2,Fairy,Water 1,50,10
Azumarill,184,2,Normal,Aqua Rabbit Pokémon,2,Water,Fairy,0.8,28.5,420,100,50,80,60,80,50,75,70,Fast,2,Fairy,Water 1,50,10
Sudowoodo,185,2,Normal,Imitation Pokémon,1,Rock,,1.2,38,410,70,100,115,30,65,30,65,70,Medium Fast,1,Mineral,,50,20
Politoed,186,2,Normal,Frog Pokémon,1,Water,,1.1,33.9,500,90,75,75,90,100,70,45,70,Medium Slow,1,Water 1,,50,20
Hoppip,187,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.4,0.5,250,35,35,40,35,55,50,255,70,Medium Slow,2,Fairy,Grass,50,20
Skiploom,188,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.6,1,340,55,45,50,45,65,80,120,70,Medium Slow,2,Fairy,Grass,50,20
Jumpluff,189,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.8,3,460,75,55,70,55,95,110,45,70,Medium Slow,2,Fairy,Grass,50,20
Aipom,190,2,Normal,Long Tail Pokémon,1,Normal,,0.8,11.5,360,55,70,55,40,55,85,45,70,Fast,1,Field,,50,20
Sunkern,191,2,Normal,Seed Pokémon,1,Grass,,0.3,1.8,180,30,30,30,30,30,30,235,70,Medium Slow,1,Grass,,50,20
Sunflora,192,2,Normal,Sun Pokémon,1,Grass,,0.8,8.5,425,75,75,55,105,85,30,120,70,Medium Slow,1,Grass,,50,20
Yanma,193,2,Normal,Clear Wing Pokémon,2,Bug,Flying,1.2,38,390,65,65,45,75,45,95,75,70,Medium Fast,1,Bug,,50,20
Wooper,194,2,Normal,Water Fish Pokémon,2,Water,Ground,0.4,8.5,210,55,45,45,25,25,15,255,70,Medium Fast,2,Field,Water 1,50,20
Quagsire,195,2,Normal,Water Fish Pokémon,2,Water,Ground,1.4,75,430,95,85,85,65,65,35,90,70,Medium Fast,2,Field,Water 1,50,20
Espeon,196,2,Normal,Sun Pokémon,1,Psychic,,0.9,26.5,525,65,65,60,130,95,110,45,70,Medium Fast,1,Field,,87.5,35
Umbreon,197,2,Normal,Moonlight Pokémon,1,Dark,,1,27,525,95,65,110,60,130,65,45,35,Medium Fast,1,Field,,87.5,35
Murkrow,198,2,Normal,Darkness Pokémon,2,Dark,Flying,0.5,2.1,405,60,85,42,85,42,91,30,35,Medium Slow,1,Flying,,50,20
Slowking,199,2,Normal,Royal Pokémon,2,Water,Psychic,2,79.5,490,95,75,80,100,110,30,70,70,Medium Fast,2,Monster,Water 1,50,20
Galarian Slowking,199,8,Normal,Hexpert Pokémon,2,Poison,Psychic,1.8,79.5,490,95,65,80,110,110,30,70,70,Medium Fast,2,Monster,Water 1,50,20
Misdreavus,200,2,Normal,Screech Pokémon,1,Ghost,,0.7,1,435,60,60,60,85,85,85,45,35,Fast,1,Amorphous,,50,25
Unown,201,2,Normal,Symbol Pokémon,1,Psychic,,0.5,5,336,48,72,48,72,48,48,225,70,Medium Fast,1,Undiscovered,,,40
Wobbuffet,202,2,Normal,Patient Pokémon,1,Psychic,,1.3,28.5,405,190,33,58,33,58,33,45,70,Medium Fast,1,Amorphous,,50,20
Girafarig,203,2,Normal,Long Neck Pokémon,2,Normal,Psychic,1.5,41.5,455,70,80,65,90,65,85,60,70,Medium Fast,1,Field,,50,20
Pineco,204,2,Normal,Bagworm Pokémon,1,Bug,,0.6,7.2,290,50,65,90,35,35,15,190,70,Medium Fast,1,Bug,,50,20
Forretress,205,2,Normal,Bagworm Pokémon,2,Bug,Steel,1.2,125.8,465,75,90,140,60,60,40,75,70,Medium Fast,1,Bug,,50,20
Dunsparce,206,2,Normal,Land Snake Pokémon,1,Normal,,1.5,14,415,100,70,70,65,65,45,190,70,Medium Fast,1,Field,,50,20
Gligar,207,2,Normal,FlyScorpion Pokémon,2,Ground,Flying,1.1,64.8,430,65,75,105,35,65,85,60,70,Medium Slow,1,Bug,,50,20
Steelix,208,2,Normal,Iron Snake Pokémon,2,Steel,Ground,9.2,400,510,75,85,200,55,65,30,25,70,Medium Fast,1,Mineral,,50,25
Mega Steelix,208,2,Normal,Iron Snake Pokémon,2,Steel,Ground,10.5,740,610,75,125,230,55,95,30,25,70,Medium Fast,1,Mineral,,50,25
Snubbull,209,2,Normal,Fairy Pokémon,1,Fairy,,0.6,7.8,300,60,80,50,40,40,30,190,70,Fast,2,Fairy,Field,25,20
Granbull,210,2,Normal,Fairy Pokémon,1,Fairy,,1.4,48.7,450,90,120,75,60,60,45,75,70,Fast,2,Fairy,Field,25,20
Qwilfish,211,2,Normal,Balloon Pokémon,2,Water,Poison,0.5,3.9,440,65,95,85,55,55,85,45,70,Medium Fast,1,Water 2,,50,20
Scizor,212,2,Normal,Pincer Pokémon,2,Bug,Steel,1.8,118,500,70,130,100,55,80,65,25,70,Medium Fast,1,Bug,,50,25
Mega Scizor,212,2,Normal,Pincer Pokémon,2,Bug,Steel,2,125,600,70,150,140,65,100,75,25,70,Medium Fast,1,Bug,,50,25
Shuckle,213,2,Normal,Mold Pokémon,2,Bug,Rock,0.6,20.5,505,20,10,230,10,230,5,190,70,Medium Slow,1,Bug,,50,20
Heracross,214,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.5,54,500,80,125,75,40,95,85,45,70,Slow,1,Bug,,50,25
Mega Heracross,214,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.7,62.5,600,80,185,115,40,105,75,45,70,Slow,1,Bug,,50,25
Sneasel,215,2,Normal,Sharp Claw Pokémon,2,Dark,Ice,0.9,28,430,55,95,55,35,75,115,60,35,Medium Slow,1,Field,,50,20
Teddiursa,216,2,Normal,Little Bear Pokémon,1,Normal,,0.6,8.8,330,60,80,50,50,50,40,120,70,Medium Fast,1,Field,,50,20
Ursaring,217,2,Normal,Hibernator Pokémon,1,Normal,,1.8,125.8,500,90,130,75,75,75,55,60,70,Medium Fast,1,Field,,50,20
Slugma,218,2,Normal,Lava Pokémon,1,Fire,,0.7,35,250,40,40,40,70,40,20,190,70,Medium Fast,1,Amorphous,,50,20
Magcargo,219,2,Normal,Lava Pokémon,2,Fire,Rock,0.8,55,430,60,50,120,90,80,30,75,70,Medium Fast,1,Amorphous,,50,20
Swinub,220,2,Normal,Pig Pokémon,2,Ice,Ground,0.4,6.5,250,50,50,40,30,30,50,225,70,Slow,1,Field,,50,20
Piloswine,221,2,Normal,Swine Pokémon,2,Ice,Ground,1.1,55.8,450,100,100,80,60,60,50,75,70,Slow,1,Field,,50,20
Corsola,222,2,Normal,Coral Pokémon,2,Water,Rock,0.6,5,410,65,55,95,65,95,35,60,70,Fast,2,Water 1,Water 3,25,20
Galarian Corsola,222,2,Normal,Coral Pokémon,1,Ghost,,0.6,0.5,410,60,55,100,65,100,30,,,Fast,2,Water 1,Water 3,,20
Remoraid,223,2,Normal,Jet Pokémon,1,Water,,0.6,12,300,35,65,35,65,35,65,190,70,Medium Fast,2,Water 1,Water 2,50,20
Octillery,224,2,Normal,Jet Pokémon,1,Water,,0.9,28.5,480,75,105,75,105,75,45,75,70,Medium Fast,2,Water 1,Water 2,50,20
Delibird,225,2,Normal,Delivery Pokémon,2,Ice,Flying,0.9,16,330,45,55,45,65,45,75,45,70,Fast,2,Field,Water 1,50,20
Mantine,226,2,Normal,Kite Pokémon,2,Water,Flying,2.1,220,485,85,40,70,80,140,70,25,70,Slow,1,Water 1,,50,25
Skarmory,227,2,Normal,Armor Bird Pokémon,2,Steel,Flying,1.7,50.5,465,65,80,140,40,70,70,25,70,Slow,1,Flying,,50,25
Houndour,228,2,Normal,Dark Pokémon,2,Dark,Fire,0.6,10.8,330,45,60,30,80,50,65,120,35,Slow,1,Field,,50,20
Houndoom,229,2,Normal,Dark Pokémon,2,Dark,Fire,1.4,35,500,75,90,50,110,80,95,45,35,Slow,1,Field,,50,20
Mega Houndoom,229,2,Normal,Dark Pokémon,2,Dark,Fire,1.9,49.5,600,75,90,90,140,90,115,45,35,Slow,1,Field,,50,20
Kingdra,230,2,Normal,Dragon Pokémon,2,Water,Dragon,1.8,152,540,75,95,95,95,95,85,45,70,Medium Fast,2,Dragon,Water 1,50,20
Phanpy,231,2,Normal,Long Nose Pokémon,1,Ground,,0.5,33.5,330,90,60,60,40,40,40,120,70,Medium Fast,1,Field,,50,20
Donphan,232,2,Normal,Armor Pokémon,1,Ground,,1.1,120,500,90,120,120,60,60,50,60,70,Medium Fast,1,Field,,50,20
Porygon2,233,2,Normal,Virtual Pokémon,1,Normal,,0.6,32.5,515,85,80,90,105,95,60,45,70,Medium Fast,1,Mineral,,,20
Stantler,234,2,Normal,Big Horn Pokémon,1,Normal,,1.4,71.2,465,73,95,62,85,65,85,45,70,Slow,1,Field,,50,20
Smeargle,235,2,Normal,Painter Pokémon,1,Normal,,1.2,58,250,55,20,35,20,45,75,45,70,Fast,1,Field,,50,20
Tyrogue,236,2,Normal,Scuffle Pokémon,1,Fighting,,0.7,21,210,35,35,35,35,35,35,75,70,Medium Fast,1,Undiscovered,,100,25
Hitmontop,237,2,Normal,Handstand Pokémon,1,Fighting,,1.4,48,455,50,95,95,35,110,70,45,70,Medium Fast,1,Human-Like,,100,25
Smoochum,238,2,Normal,Kiss Pokémon,2,Ice,Psychic,0.4,6,305,45,30,15,85,65,65,45,70,Medium Fast,1,Undiscovered,,0,25
Elekid,239,2,Normal,Electric Pokémon,1,Electric,,0.6,23.5,360,45,63,37,65,55,95,45,70,Medium Fast,1,Undiscovered,,75,25
Magby,240,2,Normal,Live Coal Pokémon,1,Fire,,0.7,21.4,365,45,75,37,70,55,83,45,70,Medium Fast,1,Undiscovered,,75,25
Miltank,241,2,Normal,Milk Cow Pokémon,1,Normal,,1.2,75.5,490,95,80,105,40,70,100,45,70,Slow,1,Field,,0,20
Blissey,242,2,Normal,Happiness Pokémon,1,Normal,,1.5,46.8,540,255,10,10,75,135,55,30,140,Fast,1,Fairy,,0,40
Raikou,243,2,Sub Legendary,Thunder Pokémon,1,Electric,,1.9,178,580,90,85,75,115,100,115,3,35,Slow,1,Undiscovered,,,80
Entei,244,2,Sub Legendary,Volcano Pokémon,1,Fire,,2.1,198,580,115,115,85,90,75,100,3,35,Slow,1,Undiscovered,,,80
Suicune,245,2,Sub Legendary,Aurora Pokémon,1,Water,,2,187,580,100,75,115,90,115,85,3,35,Slow,1,Undiscovered,,,80
Larvitar,246,2,Normal,Rock Skin Pokémon,2,Rock,Ground,0.6,72,300,50,64,50,45,50,41,45,35,Slow,1,Monster,,50,40
Pupitar,247,2,Normal,Hard Shell Pokémon,2,Rock,Ground,1.2,152,410,70,84,70,65,70,51,45,35,Slow,1,Monster,,50,40
Tyranitar,248,2,Normal,Armor Pokémon,2,Rock,Dark,2,202,600,100,134,110,95,100,61,45,35,Slow,1,Monster,,50,40
Mega Tyranitar,248,2,Normal,Armor Pokémon,2,Rock,Dark,2.5,255,700,100,164,150,95,120,71,45,35,Slow,1,Monster,,50,40
Lugia,249,2,Legendary,Diving Pokémon,2,Psychic,Flying,5.2,216,680,106,90,130,90,154,110,3,0,Slow,1,Undiscovered,,,120
Ho-oh,250,2,Legendary,Rainbow Pokémon,2,Fire,Flying,3.8,199,680,106,130,90,110,154,90,3,0,Slow,1,Undiscovered,,,120
Celebi,251,2,Mythical,Time Travel Pokémon,2,Psychic,Grass,0.6,5,600,100,100,100,100,100,100,45,100,Medium Slow,1,Undiscovered,,,120
Treecko,252,3,Normal,Wood Gecko Pokémon,1,Grass,,0.5,5,310,40,45,35,65,55,70,45,70,Medium Slow,2,Dragon,Monster,87.5,20
Grovyle,253,3,Normal,Wood Gecko Pokémon,1,Grass,,0.9,21.6,405,50,65,45,85,65,95,45,70,Medium Slow,2,Dragon,Monster,87.5,20
Sceptile,254,3,Normal,Forest Pokémon,1,Grass,,1.7,52.2,530,70,85,65,105,85,120,45,70,Medium Slow,2,Dragon,Monster,87.5,20
Mega Sceptile,254,3,Normal,Forest Pokémon,2,Grass,Dragon,1.9,55.2,630,70,110,75,145,85,145,45,70,Medium Slow,2,Dragon,Monster,87.5,20
Torchic,255,3,Normal,Chick Pokémon,1,Fire,,0.4,2.5,310,45,60,40,70,50,45,45,70,Medium Slow,1,Field,,87.5,20
Combusken,256,3,Normal,Young Fowl Pokémon,2,Fire,Fighting,0.9,19.5,405,60,85,60,85,60,55,45,70,Medium Slow,1,Field,,87.5,20
Blaziken,257,3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52,530,80,120,70,110,70,80,45,70,Medium Slow,1,Field,,87.5,20
Mega Blaziken,257,3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52,630,80,160,80,130,80,100,45,70,Medium Slow,1,Field,,87.5,20
Mudkip,258,3,Normal,Mud Fish Pokémon,1,Water,,0.4,7.6,310,50,70,50,50,50,40,45,70,Medium Slow,2,Monster,Water 1,87.5,20
Marshtomp,259,3,Normal,Mud Fish Pokémon,2,Water,Ground,0.7,28,405,70,85,70,60,70,50,45,70,Medium Slow,2,Monster,Water 1,87.5,20
Swampert,260,3,Normal,Mud Fish Pokémon,2,Water,Ground,1.5,81.9,535,100,110,90,85,90,60,45,70,Medium Slow,2,Monster,Water 1,87.5,20
Mega Swampert,260,3,Normal,Mud Fish Pokémon,2,Water,Ground,1.9,102,635,100,150,110,95,110,70,45,70,Medium Slow,2,Monster,Water 1,87.5,20
Poochyena,261,3,Normal,Bite Pokémon,1,Dark,,0.5,13.6,220,35,55,35,30,30,35,255,70,Medium Fast,1,Field,,50,15
Mightyena,262,3,Normal,Bite Pokémon,1,Dark,,1,37,420,70,90,70,60,60,70,127,70,Medium Fast,1,Field,,50,15
Zigzagoon,263,3,Normal,TinyRaccoon Pokémon,1,Normal,,0.4,17.5,240,38,30,41,30,41,60,255,70,Medium Fast,1,Field,,50,15
Galarian Zigzagoon,263,3,Normal,Tiny Raccoon Pokémon,2,Dark,Normal,0.4,17.5,240,38,30,41,30,41,60,,,Medium Fast,1,Field,,,15
Linoone,264,3,Normal,Rushing Pokémon,1,Normal,,0.5,32.5,420,78,70,61,50,61,100,90,70,Medium Fast,1,Field,,50,15
Galarian Linoone,264,3,Normal,Rushing Pokémon,2,Dark,Normal,0.5,32.5,420,78,70,61,50,61,100,,,Medium Fast,1,Field,,,15
Wurmple,265,3,Normal,Worm Pokémon,1,Bug,,0.3,3.6,195,45,45,35,20,30,20,255,70,Medium Fast,1,Bug,,50,15
Silcoon,266,3,Normal,Cocoon Pokémon,1,Bug,,0.6,10,205,50,35,55,25,25,15,120,70,Medium Fast,1,Bug,,50,15
Beautifly,267,3,Normal,Butterfly Pokémon,2,Bug,Flying,1,28.4,395,60,70,50,100,50,65,45,70,Medium Fast,1,Bug,,50,15
Cascoon,268,3,Normal,Cocoon Pokémon,1,Bug,,0.7,11.5,205,50,35,55,25,25,15,120,70,Medium Fast,1,Bug,,50,15
Dustox,269,3,Normal,Poison Moth Pokémon,2,Bug,Poison,1.2,31.6,385,60,50,70,50,90,65,45,70,Medium Fast,1,Bug,,50,15
Lotad,270,3,Normal,Water Weed Pokémon,2,Water,Grass,0.5,2.6,220,40,30,30,40,50,30,255,70,Medium Slow,2,Grass,Water 1,50,15
Lombre,271,3,Normal,Jolly Pokémon,2,Water,Grass,1.2,32.5,340,60,50,50,60,70,50,120,70,Medium Slow,2,Grass,Water 1,50,15
Ludicolo,272,3,Normal,Carefree Pokémon,2,Water,Grass,1.5,55,480,80,70,70,90,100,70,45,70,Medium Slow,2,Grass,Water 1,50,15
Seedot,273,3,Normal,Acorn Pokémon,1,Grass,,0.5,4,220,40,40,50,30,30,30,255,70,Medium Slow,2,Field,Grass,50,15
Nuzleaf,274,3,Normal,Wily Pokémon,2,Grass,Dark,1,28,340,70,70,40,60,40,60,120,70,Medium Slow,2,Field,Grass,50,15
Shiftry,275,3,Normal,Wicked Pokémon,2,Grass,Dark,1.3,59.6,480,90,100,60,90,60,80,45,70,Medium Slow,2,Field,Grass,50,15
Taillow,276,3,Normal,TinySwallow Pokémon,2,Normal,Flying,0.3,2.3,270,40,55,30,30,30,85,200,70,Medium Slow,1,Flying,,50,15
Swellow,277,3,Normal,Swallow Pokémon,2,Normal,Flying,0.7,19.8,455,60,85,60,75,50,125,45,70,Medium Slow,1,Flying,,50,15
Wingull,278,3,Normal,Seagull Pokémon,2,Water,Flying,0.6,9.5,270,40,30,30,55,30,85,190,70,Medium Fast,2,Flying,Water 1,50,20
Pelipper,279,3,Normal,Water Bird Pokémon,2,Water,Flying,1.2,28,440,60,50,100,95,70,65,45,70,Medium Fast,2,Flying,Water 1,50,20
Ralts,280,3,Normal,Feeling Pokémon,2,Psychic,Fairy,0.4,6.6,198,28,25,25,45,35,40,235,35,Slow,2,Amorphous,Human-Like,50,20
Kirlia,281,3,Normal,Emotion Pokémon,2,Psychic,Fairy,0.8,20.2,278,38,35,35,65,55,50,120,35,Slow,2,Amorphous,Human-Like,50,20
Gardevoir,282,3,Normal,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,518,68,65,65,125,115,80,45,35,Slow,2,Amorphous,Human-Like,50,20
Mega Gardevoir,282,3,Normal,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,618,68,85,65,165,135,100,45,35,Slow,1,Amorphous,,50,20
Surskit,283,3,Normal,Pond Skater Pokémon,2,Bug,Water,0.5,1.7,269,40,30,32,50,52,65,200,70,Medium Fast,2,Bug,Water 1,50,15
Masquerain,284,3,Normal,Eyeball Pokémon,2,Bug,Flying,0.8,3.6,454,70,60,62,100,82,80,75,70,Medium Fast,2,Bug,Water 1,50,15
Shroomish,285,3,Normal,Mushroom Pokémon,1,Grass,,0.4,4.5,295,60,40,60,40,60,35,255,70,Fluctuating,2,Fairy,Grass,50,15
Breloom,286,3,Normal,Mushroom Pokémon,2,Grass,Fighting,1.2,39.2,460,60,130,80,60,60,70,90,70,Fluctuating,2,Fairy,Grass,50,15
Slakoth,287,3,Normal,Slacker Pokémon,1,Normal,,0.8,24,280,60,60,60,35,35,30,255,70,Slow,1,Field,,50,15
Vigoroth,288,3,Normal,Wild Monkey Pokémon,1,Normal,,1.4,46.5,440,80,80,80,55,55,90,120,70,Slow,1,Field,,50,15
Slaking,289,3,Normal,Lazy Pokémon,1,Normal,,2,130.5,670,150,160,100,95,65,100,45,70,Slow,1,Field,,50,15
Nincada,290,3,Normal,Trainee Pokémon,2,Bug,Ground,0.5,5.5,266,31,45,90,30,30,40,255,70,Erratic,1,Bug,,50,15
Ninjask,291,3,Normal,Ninja Pokémon,2,Bug,Flying,0.8,12,456,61,90,45,50,50,160,120,70,Erratic,1,Bug,,50,15
Shedinja,292,3,Normal,Shed Pokémon,2,Bug,Ghost,0.8,1.2,236,1,90,45,30,30,40,45,70,Erratic,1,Mineral,,,15
Whismur,293,3,Normal,Whisper Pokémon,1,Normal,,0.6,16.3,240,64,51,23,51,23,28,190,70,Medium Slow,2,Field,Monster,50,20
Loudred,294,3,Normal,Big Voice Pokémon,1,Normal,,1,40.5,360,84,71,43,71,43,48,120,70,Medium Slow,2,Field,Monster,50,20
Exploud,295,3,Normal,Loud Noise Pokémon,1,Normal,,1.5,84,490,104,91,63,91,73,68,45,70,Medium Slow,2,Field,Monster,50,20
Makuhita,296,3,Normal,Guts Pokémon,1,Fighting,,1,86.4,237,72,60,30,20,30,25,180,70,Fluctuating,1,Human-Like,,75,20
Hariyama,297,3,Normal,Arm Thrust Pokémon,1,Fighting,,2.3,253.8,474,144,120,60,40,60,50,200,70,Fluctuating,1,Human-Like,,75,20
